decade,word,tf
1550-1600,abrahami,1
1550-1600,ad,1
1550-1600,adam,7
1550-1600,advoc,1
1550-1600,agricolam,1
1550-1600,aii,1
1550-1600,al,1
1550-1600,almant,1
1550-1600,alva,1
1550-1600,alvaro,1
1550-1600,amberg,3
1550-1600,amici,1
1550-1600,ander,2
1550-1600,andre,1
1550-1600,andream,1
1550-1600,angeb,2
1550-1600,anno,9
1550-1600,anoth,1
1550-1600,anstruth,1
1550-1600,antonio,1
1550-1600,antverpia,2
1550-1600,appear,1
1550-1600,apud,6
1550-1600,architypographi,1
1550-1600,architypographuv,1
1550-1600,arm,13
1550-1600,armori,4
1550-1600,arnoldi,1
1550-1600,au,1
1550-1600,auchinleck,1
1550-1600,aufnahm,2
1550-1600,augusta,1
1550-1600,augustin,1
1550-1600,augusto,1
1550-1600,aureliensi,1
1550-1600,ausulti,1
1550-1600,avgvsti,1
1550-1600,back,2
1550-1600,bamfeild,1
1550-1600,banner,2
1550-1600,basilea,2
1550-1600,bear,2
1550-1600,bekerung,1
1550-1600,bellouaco,1
1550-1600,belong,1
1550-1600,beltziu,1
1550-1600,benoist,1
1550-1600,berg,1
1550-1600,beverley,1
1550-1600,bey,11
1550-1600,bibliothequ,1
1550-1600,bissett,1
1550-1600,blank,3
1550-1600,blut,1
1550-1600,book,2
1550-1600,bookplat,4
1550-1600,bordur,1
1550-1600,boswel,2
1550-1600,botan,1
1550-1600,bound,4
1550-1600,brignol,1
1550-1600,british,1
1550-1600,brown,1
1550-1600,bruneau,1
1550-1600,burdigala,1
1550-1600,bvrdigala,1
1550-1600,cal,1
1550-1600,cameracensium,1
1550-1600,camerlengo,2
1550-1600,capitel,1
1550-1600,caption,1
1550-1600,cardin,2
1550-1600,central,1
1550-1600,chain,2
1550-1600,christi,3
1550-1600,christian,2
1550-1600,christlichen,1
1550-1600,christophori,3
1550-1600,christophorv,1
1550-1600,citi,1
1550-1600,clement,6
1550-1600,clo,1
1550-1600,coat,12
1550-1600,collar,1
1550-1600,colophon,2
1550-1600,colour,1
1550-1600,commelini,1
1550-1600,commentariu,2
1550-1600,consul,1
1550-1600,contain,1
1550-1600,contemporari,1
1550-1600,coronet,1
1550-1600,cremer,1
1550-1600,crest,2
1550-1600,crucifixion,1
1550-1600,da,6
1550-1600,date,5
