author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,urls
Thomas Young,"['Young, Thomas,1934-']",[[Linear integrated circuits]],[1981.0],['New York Chichester Wiley'],['eng'],['Linear integrated circuits.'],['Includes index'],1981.0,1981.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLC8zTbs880_DnwytkbwZ5VTBn_K1XqtS5LGFAfuo9nVZOI7HXqV-KxL0giA&s']
F. S. AshleyCooper,"['Ashley-Cooper, F. S.(Frederick Samuel),1877-1932.']","[""Lord's & the M.C.C. A cricket chronicle of 137 years, based on official documents and published ... to commemorate the centenary [of Lord's], etc. [With plates.]""]",[1914.0],"['London,']",['eng'],[nan],"['Joint authors: George Robert Canning Harris, Baron Harris and Frederick Samuel Ashley Cooper.']",1914.0,1914.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4bqDuh2KLH5pB4ajQJ0fwHj905Rt61lFxRMLXG4zJy1N6nc03qbvEwjhH0aU&s']
Marwan Kraidy,"['Kraidy, Marwan,1972-']",[[Global media studies : ethnographic perspectives /]],[2003.0],"['New York ; London : Routledge,']",['eng'],['Globalization.'],['Includes bibliographical references and index.'],2003.0,2003.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2xgYwVnnLnE9yDqhMz2IyOQjdDMHWtn9pdrQj2xrMplkJt3TFyD67XD7h1Ls&s']
A. Z. Hilali,"['Hilali, A. Z.,1958-']",[[US-Pakistan relationship : Soviet invasion of Afghanistan /]],[2005.0],"['Aldershot : Ashgate,']",['eng'],[nan],['Includes bibliographical references (p. [281]-294) and index.'],2005.0,2005.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3nhiKdXs7pxdsYhfHjgIdVEvkTfG8sJ85Nh2PN0UqKHa53t6w-VF0yBhGEg&s']
Ernest H. Hart,"['Hart, Ernest H.(Ernest Huntley),1910-']",[[Encyclopedia of dog breeds histories and official standards]],[1968.0],['Jersey City Reigate T.F.H. Publications'],['eng'],['Dogs.'],['bibl p767'],1968.0,1968.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQv4OXdMvN-idiqjGRiQqffC4hrOcXrtQM7UcByversANub3PBFE0kAj6aOnQ&s']
Graham Swift,"['Swift, Graham,1949-Last orders.']",[[Waterland ; and Last orders /]],[1999.0],"['London : Picador,']",['eng'],[nan],"['Originally published: Waterland. London : Heinemann, 1983. - Last Orders. 1996.']",1999.0,1999.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4FqfTpO_HZeTwptiMpB07Jr4JqtrKjx-Vvs8NKdITRwVnECKzLZsx3LOXK3I&s']
Pieter Molyn,"['Molyn, Pieter,1595-1661.']","[[Pieter Molyn, 1595-1661 : Katalog der Handzeichnungen /]]",[1998.0],"['Doornspijk : Davaco,']",['ger'],['Drawing'],['Includes bibliographical references (p. 33-34) and index.'],1998.0,1998.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTffiork_Uwevu-qTF3S3uNQZPmnSiJWOPJIbYyh3SE87qWaG2lOFvpNIgAwY&s']
James Gould Cozzens,"['Cozzens, James Gould,1903-1978.', 'Cozzens, James Gould,1903-1978.', 'Cozzens, James Gould,1903-1978.']","[[Men and brethren., By love possessed., Men and brethren.]]","[1958.0, 1958.0, 1936.0]","['London,', 'London,', 'London,']","['eng', 'eng', 'eng']","[nan, nan, nan]","['A reissue of London 1936 ed.', nan, nan]",1936.0,1958.0,3,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBBQaHEGUxjbPipvC_xGzzfatPU98aOQN1lcifeZNKL7-uWUMArRWui60Aqw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQS_yW4GIhRh0E8QdnoAhXuq5GI4x3PzFzvhHHbCqHEwtgMEzKGwQalmv6ajw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBBQaHEGUxjbPipvC_xGzzfatPU98aOQN1lcifeZNKL7-uWUMArRWui60Aqw&s']"
Samuel Bentley,"['Bentley, Samuel,1722-1803.']",[[The river Dove: a lyric pastoral. By Samuel Bentley.]],[1768.0],"['London : printed for the author: and published by Elizabeth Stevens,']",['eng'],[nan],['ESTC'],1768.0,1768.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmjn7G8RMLh9s9VWlcOVAU-1UvXNGQZmghLasG6CFLg9rD1AqDlzLc0n0S3Q&s']
Tom Murphy,"['Murphy, Tom,1945-']",[[Harley-Davidson big twin performance handbook /]],[1995.0],"['Osceola, WI, USA : Motorbooks International,']",['eng'],['Harley-Davidson motorcycle'],['Includes index.'],1995.0,1995.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnCPnPGNAKhuFYu2rJqnVwafb6rOL1DVMZYLYo99fejUyMm32lSGzTIcXq8eM&s']
