decade,word,tf,occurrences
1600-1650,administr,0.0047393364928909,"[195, 392]"
1600-1650,authent,0.0023696682464454,[196]
1600-1650,fast,0.0023696682464454,[201]
1600-1650,feast,0.0023696682464454,[201]
1600-1650,absolut,0.0023696682464454,[202]
1600-1650,canon,0.0023696682464454,[202]
1600-1650,tith,0.0023696682464454,[204]
1600-1650,jubb,0.0023696682464454,[206]
1600-1650,john,0.0047393364928909,"[206, 384]"
1600-1650,roger,0.0023696682464454,[207]
1600-1650,baerl,0.0023696682464454,[208]
1600-1650,susanna,0.0023696682464454,[208]
1600-1650,van,0.0023696682464454,[208]
1600-1650,death,0.0023696682464454,[209]
1600-1650,spring,0.0023696682464454,[215]
1600-1650,ingolstadt,0.0023696682464454,[216]
1600-1650,water,0.0023696682464454,[218]
1600-1650,consumpt,0.0023696682464454,[218]
1600-1650,contract,0.0023696682464454,[219]
1600-1650,christian,0.0094786729857819,"[221, 231, 240, 323]"
1600-1650,life,0.0071090047393364,"[221, 231, 240]"
1600-1650,hous,0.0047393364928909,"[222, 329]"
1600-1650,lord,0.0023696682464454,[222]
1600-1650,daniel,0.0023696682464454,[224]
1600-1650,intellectu,0.0023696682464454,[225]
1600-1650,freedom,0.0023696682464454,[225]
1600-1650,state,0.0118483412322274,"[230, 332, 371, 430, 432]"
1600-1650,astrolog,0.0023696682464454,[234]
1600-1650,jame,0.0023696682464454,[235]
1600-1650,vi,0.0047393364928909,"[235, 238]"
1600-1650,postur,0.0023696682464454,[236]
1600-1650,worship,0.0023696682464454,[236]
1600-1650,rostock,0.0023696682464454,[237]
1600-1650,edward,0.0023696682464454,[238]
1600-1650,musaeum,0.0023696682464454,[242]
1600-1650,minerva,0.0023696682464454,[242]
1600-1650,royalist,0.0023696682464454,[246]
1600-1650,battl,0.0023696682464454,[249]
1600-1650,order,0.0071090047393364,"[250, 264, 336]"
1600-1650,garter,0.0023696682464454,[250]
1600-1650,emblem,0.0023696682464454,[251]
1600-1650,music,0.0023696682464454,[252]
1600-1650,politi,0.0023696682464454,[254]
1600-1650,dissent,0.0023696682464454,[260]
1600-1650,religi,0.0094786729857819,"[260, 264, 336, 376]"
1600-1650,pope,0.0023696682464454,[262]
1600-1650,monastic,0.0047393364928909,"[264, 336]"
1600-1650,report,0.0023696682464454,[266]
1600-1650,digest,0.0023696682464454,[266]
1600-1650,etc,0.0023696682464454,[266]
1600-1650,militari,0.0023696682464454,[267]
1600-1650,sovereign,0.0023696682464454,[269]
1600-1650,council,0.0047393364928909,"[279, 395]"
1600-1650,synod,0.0023696682464454,[279]
1600-1650,strafford,0.0047393364928909,"[281, 285]"
1600-1650,wentworth,0.0047393364928909,"[281, 285]"
1600-1650,weight,0.0047393364928909,"[282, 367]"
1600-1650,measur,0.0047393364928909,"[282, 367]"
1600-1650,legal,0.0023696682464454,[283]
1600-1650,document,0.0023696682464454,[283]
1600-1650,canal,0.0023696682464454,[284]
1600-1650,will,0.0023696682464454,[287]
1600-1650,inquisit,0.0023696682464454,[298]
1600-1650,inspir,0.0023696682464454,[318]
1600-1650,funer,0.0047393364928909,"[322, 403]"
1600-1650,rite,0.0047393364928909,"[322, 403]"
1600-1650,ceremoni,0.0047393364928909,"[322, 403]"
1600-1650,earli,0.0023696682464454,[323]
1600-1650,selim,0.0023696682464454,[324]
1600-1650,sultan,0.0023696682464454,[324]
1600-1650,turk,0.0023696682464454,[324]
1600-1650,univers,0.0047393364928909,"[325, 374]"
1600-1650,cambridg,0.0023696682464454,[325]
1600-1650,common,0.0047393364928909,"[329, 395]"
1600-1650,devot,0.0023696682464454,[330]
1600-1650,westminst,0.0023696682464454,[331]
1600-1650,farewel,0.0023696682464454,[338]
1600-1650,roundhead,0.0023696682464454,[342]
1600-1650,public,0.0047393364928909,"[344, 428]"
1600-1650,offic,0.0023696682464454,[344]
1600-1650,jewelri,0.0023696682464454,[365]
1600-1650,orang,0.0023696682464454,[369]
1600-1650,colleg,0.0023696682464454,[374]
1600-1650,proverb,0.0023696682464454,[378]
1600-1650,solemn,0.0023696682464454,[380]
1600-1650,leagu,0.0023696682464454,[380]
1600-1650,coven,0.0023696682464454,[380]
1600-1650,de,0.0047393364928909,"[382, 442]"
1600-1650,hotham,0.0023696682464454,[384]
1600-1650,devil,0.0023696682464454,[386]
1600-1650,jew,0.0023696682464454,[390]
1600-1650,corpor,0.0023696682464454,[395]
1600-1650,court,0.0023696682464454,[395]
1600-1650,clergi,0.0023696682464454,[396]
1600-1650,duel,0.0023696682464454,[398]
1600-1650,preced,0.0023696682464454,[399]
1600-1650,crop,0.0023696682464454,[400]
1600-1650,residu,0.0023696682464454,[400]
1600-1650,postal,0.0023696682464454,[404]
1600-1650,servic,0.0023696682464454,[404]
1600-1650,procedur,0.0023696682464454,[407]
1600-1650,heidelberg,0.0023696682464454,[408]
1600-1650,iconoclasm,0.0023696682464454,[410]
1600-1650,geographi,0.0023696682464454,[414]
1600-1650,paint,0.0023696682464454,[415]
1600-1650,covenant,0.0023696682464454,[416]
1600-1650,episcopaci,0.0023696682464454,[421]
1600-1650,conscienc,0.0023696682464454,[431]
1600-1650,last,0.0023696682464454,[433]
1600-1650,word,0.0023696682464454,[433]
1600-1650,chillingworth,0.0023696682464454,[434]
1600-1650,william,0.0023696682464454,[434]
1600-1650,giessen,0.0023696682464454,[441]
1600-1650,strasbourg,0.0023696682464454,[442]
1600-1650,ii,0.0023696682464454,[442]
1600-1650,scienc,0.0023696682464454,[442]
1600-1650,humain,0.0023696682464454,[442]
1650-1700,church,0.0387323943661971,"[0, 42, 61, 110, 111, 176, 197, 208, 209, 223, 226, 262, 263, 264, 275, 309, 333, 336, 359, 360, 389, 390, 394, 424, 427, 465, 499, 506, 542, 554, 594, 598, 673]"
1650-1700,histori,0.0035211267605633,"[0, 35, 47]"
1650-1700,blasphemi,0.0011737089201877,[1]
1650-1700,geographi,0.0011737089201877,[4]
1650-1700,lord,0.0023474178403755,"[5, 342]"
1650-1700,supper,0.0023474178403755,"[5, 342]"
1650-1700,shaftesburi,0.0011737089201877,[6]
1650-1700,anthoni,0.0011737089201877,[6]
1650-1700,ashley,0.0011737089201877,[6]
1650-1700,cooper,0.0011737089201877,[6]
1650-1700,earl,0.0023474178403755,"[6, 452]"
1650-1700,broadsid,0.0234741784037558,"[7, 8, 9, 10, 11, 12, 106, 282, 283, 284, 285, 286, 287, 288, 289, 290, 347, 458, 459, 460]"
1650-1700,papal,0.0011737089201877,[13]
1650-1700,document,0.0011737089201877,[13]
1650-1700,land,0.0023474178403755,"[14, 556]"
1650-1700,tenur,0.0011737089201877,[14]
1650-1700,jurisdict,0.0023474178403755,"[15, 124]"
1650-1700,canon,0.0046948356807511,"[15, 271, 294, 643]"
1650-1700,law,0.0246478873239436,"[15, 43, 77, 124, 189, 199, 201, 269, 271, 280, 294, 303, 350, 400, 401, 422, 502, 639, 641, 643, 681]"
1650-1700,inscript,0.0011737089201877,[16]
1650-1700,latin,0.0023474178403755,"[16, 293]"
1650-1700,dutch,0.0011737089201877,[17]
1650-1700,war,0.0082159624413145,"[17, 66, 76, 188, 315, 461, 493]"
1650-1700,taxat,0.0011737089201877,[18]
1650-1700,monastic,0.0023474178403755,"[19, 214]"
1650-1700,religi,0.0176056338028169,"[19, 25, 50, 51, 78, 115, 120, 165, 214, 325, 368, 442, 449, 583, 604]"
1650-1700,order,0.0035211267605633,"[19, 214, 623]"
1650-1700,women,0.0011737089201877,[19]
1650-1700,foreign,0.0011737089201877,[20]
1650-1700,enlist,0.0011737089201877,[20]
1650-1700,weapon,0.0035211267605633,"[21, 181, 625]"
1650-1700,tax,0.0023474178403755,"[22, 660]"
1650-1700,farm,0.0011737089201877,[22]
1650-1700,obedi,0.0011737089201877,[23]
1650-1700,privileg,0.0035211267605633,"[24, 299, 303]"
1650-1700,immun,0.0035211267605633,"[24, 299, 303]"
